,Date,Close,1st Split ,Final Split
0,1/31/2005,76.9,76.9,76.9
1,2/28/2005,44.86,89.72,89.72
2,3/31/2005,41.67,83.34,83.34
3,4/30/2005,36.06,72.12,72.12
4,5/31/2005,39.7593,79.5186,79.5186
5,6/30/2005,36.81,73.62,73.62
6,7/31/2005,42.65,85.3,85.3
7,8/31/2005,46.89,93.78,93.78
8,9/30/2005,53.61,107.22,107.22
9,10/31/2005,57.59,115.18,115.18
10,11/30/2005,67.82,135.64,135.64
11,12/31/2005,71.89,143.78,143.78
12,1/31/2006,75.51,151.02,151.02
13,2/28/2006,68.49,136.98,136.98
14,3/31/2006,62.72,125.44,125.44
15,4/30/2006,70.39,140.78,140.78
16,5/31/2006,59.77,119.54,119.54
17,6/30/2006,57.27,114.54,114.54
18,7/31/2006,67.96,135.92,135.92
19,8/31/2006,67.85,135.7,135.7
20,9/30/2006,76.98,153.96,153.96
21,10/31/2006,81.08,162.16,162.16
22,11/30/2006,91.66,183.32,183.32
23,12/31/2006,84.84,169.68,169.68
24,1/31/2007,85.73,171.46,171.46
25,2/28/2007,84.61,169.22,169.22
26,3/31/2007,92.91,185.82,185.82
27,4/30/2007,99.8,199.6,199.6
28,5/31/2007,121.191,242.382,242.382
29,6/30/2007,122.04,244.08,244.08
30,7/31/2007,131.76,263.52,263.52
31,8/31/2007,138.48,276.96,276.96
32,9/30/2007,153.47,306.94,306.94
33,10/31/2007,189.95,379.9,379.9
34,11/30/2007,182.22,364.44,364.44
35,12/31/2007,198.08,396.16,396.16
36,1/31/2008,135.36,270.72,270.72
37,2/29/2008,125.02,250.04,250.04
38,3/31/2008,143.5,287,287
39,4/30/2008,173.95,347.9,347.9
40,5/31/2008,188.75,377.5,377.5
41,6/30/2008,167.44,334.88,334.88
42,7/31/2008,158.95,317.9,317.9
43,8/31/2008,169.53,339.06,339.06
44,9/30/2008,113.66,227.32,227.32
45,10/31/2008,107.59,215.18,215.18
46,11/30/2008,92.67,185.34,185.34
47,12/31/2008,85.35,170.7,170.7
48,1/31/2009,90.13,180.26,180.26
49,2/28/2009,89.31,178.62,178.62
