Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2005-01-31,42.52,43.42,42.43,43.22,6320300.0,0.0,1.0,42.52,43.42,42.43,43.22,6320300.0
2005-02-28,34.68,35.66,34.665,35.18,8422900.0,0.0,1.0,34.68,35.66,34.665,35.18,8422900.0
2005-03-31,34.49,34.55,34.0,34.27,3554300.0,0.0,1.0,34.49,34.55,34.0,34.27,3554300.0
2005-04-30,32.86,32.89,31.52,32.36,10523500.0,0.0,1.0,32.86,32.89,31.52,32.36,10523500.0
2005-05-31,35.36,36.04,35.29,35.51,4930200.0,0.0,1.0,35.36,36.04,35.29,35.51,4930200.0
2005-06-30,33.47,33.56,32.93,33.09,5715700.0,0.0,1.0,33.47,33.56,32.93,33.09,5715700.0
2005-07-31,45.31,45.75,44.61,45.15,10491800.0,0.0,1.0,45.31,45.75,44.61,45.15,10491800.0
2005-08-31,42.44,42.81,42.04,42.7,3369200.0,0.0,1.0,42.44,42.81,42.04,42.7,3369200.0
2005-09-30,44.65,45.84,44.6,45.3,6056000.0,0.0,1.0,44.65,45.84,44.6,45.3,6056000.0
2005-10-31,39.35,40.39,39.12,39.86,6780600.0,0.0,1.0,39.35,40.39,39.12,39.86,6780600.0
2005-11-30,48.48,48.68,47.55,48.46,7925600.0,0.0,1.0,48.48,48.68,47.55,48.46,7925600.0
2005-12-31,47.73,48.1999,47.14,47.15,5401100.0,0.0,1.0,47.73,48.1999,47.14,47.15,5401100.0
2006-01-31,45.0,45.21,44.25,44.82,4056000.0,0.0,1.0,45.0,45.21,44.25,44.82,4056000.0
2006-02-28,37.78,38.09,37.05,37.44,9150900.0,0.0,1.0,37.78,38.09,37.05,37.44,9150900.0
2006-03-31,36.7,36.77,36.48,36.53,2659000.0,0.0,1.0,36.7,36.77,36.48,36.53,2659000.0
2006-04-30,35.8,35.89,35.14,35.21,3492500.0,0.0,1.0,35.8,35.89,35.14,35.21,3492500.0
2006-05-31,34.735,34.94,33.73,34.61,5196600.0,0.0,1.0,34.735,34.94,33.73,34.61,5196600.0
2006-06-30,38.58,38.84,37.83,38.68,5191200.0,0.0,1.0,38.58,38.84,37.83,38.68,5191200.0
2006-07-31,27.02,27.29,26.74,26.89,8038200.0,0.0,1.0,27.02,27.29,26.74,26.89,8038200.0
2006-08-31,30.7545,30.99,30.47,30.83,5947000.0,0.0,1.0,30.7545,30.99,30.47,30.83,5947000.0
2006-09-30,32.01,32.34,31.54,32.12,5227200.0,0.0,1.0,32.01,32.34,31.54,32.12,5227200.0
2006-10-31,38.22,38.59,37.8,38.09,6210400.0,0.0,1.0,38.22,38.59,37.8,38.09,6210400.0
2006-11-30,40.42,40.64,39.85,40.34,6346300.0,0.0,1.0,40.42,40.64,39.85,40.34,6346300.0
