Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2005-01-31,57.28,57.98,57.14,57.81,3740500.0,0.0,1.0,38.24178029926698,38.7091204914717,38.14831226082603,38.59562358765056,3740500.0
2005-02-28,59.8,60.04,59.18,59.22,1816300.0,0.0,1.0,40.09108429646735,40.25198496922909,39.67542422516619,39.70224100395981,1816300.0
2005-03-31,61.2,61.21,60.05,61.06,2428600.0,0.0,1.0,41.02967155424418,41.03637574894259,40.2586891639275,40.9358128284665,2428600.0
2005-04-30,60.65,61.11,60.21,60.95,1817600.0,0.0,1.0,40.66094084583185,40.96933380195853,40.365956279101994,40.86206668678403,1817600.0
2005-05-31,65.4,65.4,64.85,64.89,1887500.0,0.0,1.0,44.013038195034824,44.013038195034824,43.642897965565865,43.669817254981794,1887500.0
2005-06-30,64.3,65.22,64.3,64.87,2688900.0,0.0,1.0,43.27275773609692,43.89190139266316,43.27275773609692,43.65635761027384,2688900.0
2005-07-31,63.0,63.14,62.28,62.4,2128300.0,0.0,1.0,42.39788083007941,42.492098343035146,41.91333362059279,41.99409148884056,2128300.0
2005-08-31,62.28,62.28,61.34,62.24,2218400.0,0.0,1.0,42.08163322555823,42.08163322555823,41.44648975683593,42.05460584391047,2218400.0
2005-09-30,60.9,61.3,60.62,61.04,2465300.0,0.0,1.0,41.1491885587106,41.41946237518817,40.959996887176295,41.24378439447775,2465300.0
2005-10-31,61.32,61.68,60.36,60.56,2158000.0,0.0,1.0,41.43297606601205,41.67622250084187,40.78431890646587,40.91945581470466,2158000.0
2005-11-30,61.02,61.24,60.45,60.6,2350200.0,0.0,1.0,41.433375485445275,41.58275835346884,41.04633805465694,41.14819001012756,2350200.0
2005-12-31,63.27,63.75,63.23,63.63,1048300.0,0.0,1.0,42.961154817504465,43.28708107501042,42.93399429604563,43.20559951063393,1048300.0
2006-01-31,66.2,68.0,66.2,67.65,3562200.0,0.0,1.0,44.95066301436377,46.172886480011115,44.95066301436377,45.935231917246355,3562200.0
2006-02-28,73.63,73.76,72.24,72.87,3020500.0,0.0,1.0,50.198251060361734,50.28688032340462,49.25059970936482,49.68011075334184,3020500.0
2006-03-31,75.03,75.54,74.99,75.13,2164400.0,0.0,1.0,51.152720046977336,51.500419463530164,51.1254495045026,51.22089640316416,2164400.0
2006-04-30,75.67,76.3,75.0,75.9,2115200.0,0.0,1.0,51.58904872657303,52.01855977055005,51.132267140121286,51.74585434580274,2115200.0
2006-05-31,72.77,72.79,72.0,72.49,1703100.0,0.0,1.0,49.81688593005429,49.83057752987017,49.28975933714318,49.62520353263207,1703100.0
2006-06-30,71.65,72.0,71.57,71.74,1660700.0,0.0,1.0,49.050156340365405,49.28975933714318,48.995389941101905,49.111768539536826,1660700.0
2006-07-31,80.1,80.29,79.0,79.68,2446700.0,0.0,1.0,54.83485726257178,54.96492746082259,54.081819272698766,54.547333666438455,2446700.0
2006-08-31,81.85,83.2,81.66,82.6,3710200.0,0.0,1.0,56.23722261935076,57.16477607733639,56.106678058597225,56.75253009600944,3710200.0
2006-09-30,86.45,86.45,85.68,86.06,1655700.0,0.0,1.0,59.39777514285734,59.39777514285734,58.86872613348776,59.129815254994824,1655700.0
2006-10-31,87.05,87.14,86.45,86.93,1774600.0,0.0,1.0,59.81002112418428,59.871858021383325,59.39777514285734,59.7275719279189,1774600.0
2006-11-30,91.14,91.14,89.21,90.45,1588700.0,0.0,1.0,62.8620213015595,62.8620213015595,61.53084178529869,62.38610738123828,1588700.0
2006-12-31,92.09,92.68,91.95,92.07,911100.0,0.0,1.0,63.51726510490031,63.924205993290926,63.42070286019746,63.50347049851418,911100.0
2007-01-31,96.2,97.3,96.16,97.19,1893500.0,0.0,1.0,66.35205671724846,67.11076006848518,66.3244675044762,67.03488973336151,1893500.0
2007-02-28,96.75,98.84,95.84,97.26,3070100.0,0.0,1.0,66.97078517812358,68.41749257887065,66.34087908497534,67.32380947208578,3070100.0
