Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2005-01-31,43.32,43.71,42.781,43.71,169000.0,0.0,1.0,35.26041034382265,35.57785171118393,34.821690095084875,35.57785171118393,169000.0
2005-02-28,44.85,45.03,44.4,44.87,247100.0,0.0,1.0,36.586272811714316,36.73310735142688,36.2191864624329,36.60258776057126,247100.0
2005-03-31,43.18,43.5,43.01,43.21,181100.0,0.0,1.0,35.22397458215884,35.48501376387007,35.08529751687475,35.24844700544427,181100.0
2005-04-30,36.25,36.91,36.0,36.24,124700.0,0.0,1.0,29.570844803225057,30.109238115504464,29.366907942513162,29.562687328796585,124700.0
2005-05-31,38.07,38.77,37.9,37.9,248100.0,0.0,1.0,31.137144226886974,31.709668549419703,30.998102605700453,30.998102605700453,248100.0
2005-06-30,46.1,46.33,45.38,45.44,555300.0,0.0,1.0,37.70481609822667,37.89293123277314,37.1159339379073,37.16500745126724,555300.0
2005-07-31,43.14,43.89,42.91,43.09,114300.0,0.0,1.0,35.28385610580258,35.89727502280193,35.095740971256106,35.242961511335956,114300.0
2005-08-31,35.54,37.0,34.4,36.93,523800.0,0.0,1.0,29.14326124725674,30.340480195512082,28.208446452043663,30.283079287034084,523800.0
2005-09-30,36.98,37.21,36.31,37.16,156300.0,0.0,1.0,30.324079935946937,30.51268292094607,29.774671240514696,30.471682272033213,156300.0
2005-10-31,33.43,34.82,33.43,34.51,277200.0,0.0,1.0,27.502986394268447,28.64654460808936,27.502986394268447,28.391506445294766,277200.0
2005-11-30,35.0,36.11,35.0,35.62,262100.0,0.0,1.0,28.794631283260415,29.707832446815246,28.794631283260415,29.304707608849597,262100.0
2005-12-31,31.16,31.2,30.5,30.53,202000.0,0.0,1.0,25.63544887961127,25.668357029649282,25.092464403984074,25.117145516512586,202000.0
2006-01-31,27.65,28.02,27.05,28.0,784400.0,0.0,1.0,22.747758713775728,23.05215910162734,22.25413646320555,23.035705026608333,784400.0
2006-02-28,23.7,24.18,22.74,23.32,1435700.0,0.0,1.0,19.5827917674606,19.9794052716117,18.789564759158395,19.26880607667431,1435700.0
2006-03-31,22.52,22.63,22.36,22.4,266300.0,0.0,1.0,18.60778356975581,18.698674164457103,18.47557906837211,18.508630193718034,266300.0
2006-04-30,26.2,26.9,25.91,26.51,349000.0,0.0,1.0,21.648487101580915,22.226881795134602,21.40886644282296,21.904633323011836,349000.0
2006-05-31,29.83,30.62,29.83,30.62,660500.0,0.0,1.0,24.755235899398997,25.41083886153528,24.755235899398997,25.41083886153528,660500.0
2006-06-30,28.44,28.44,27.81,27.99,235100.0,0.0,1.0,23.60170663690605,23.60170663690605,23.07888402153155,23.22826191163855,235100.0
2006-07-31,26.0,26.34,25.36,25.91,234700.0,0.0,1.0,21.576806348788935,21.858964585657716,21.045684961741824,21.502117403735436,234700.0
2006-08-31,30.15,31.43,30.15,31.26,715700.0,0.0,1.0,25.139005080763138,26.20626632465623,25.139005080763138,26.06452069070168,715700.0
2006-09-30,32.66,33.05,32.3,32.36,380200.0,0.0,1.0,27.23183767620975,27.55701883645843,26.931670451364816,26.98169832217231,380200.0
2006-10-31,26.87,26.94,26.36,26.53,231600.0,0.0,1.0,22.48564246814899,22.544220621210783,22.058858781555912,22.201120010420272,231600.0
2006-11-30,27.93,28.25,27.61,27.68,406900.0,0.0,1.0,23.37268307165617,23.640468914224375,23.104897229087964,23.16347538214976,406900.0
2006-12-31,30.98,31.09,30.2299,30.29,349700.0,0.0,1.0,25.925016883634374,26.017068267017194,25.297310132039343,25.347603660596683,349700.0
2007-01-31,31.55,32.35,31.52,31.62,445900.0,0.0,1.0,26.402010415708993,27.071475022129505,26.37690549296822,26.46058856877079,445900.0
2007-02-28,31.61,32.73,31.53,32.35,464200.0,0.0,1.0,26.55055565249607,27.491290303897383,26.48336032025312,27.17211247574337,464200.0
2007-03-31,34.6,37.12,34.6,37.06,1008200.0,0.0,1.0,29.06198119507637,31.178634160729327,29.06198119507637,31.128237661547118,1008200.0
2007-04-30,39.18,40.1,39.15,39.53,537700.0,0.0,1.0,32.90891396598532,33.68166028677926,32.883715716394214,33.20289354454823,537700.0
2007-05-31,43.43,43.66,42.78,42.99,439100.0,0.0,1.0,36.58801997387941,36.78178567947444,36.04042124067606,36.21733775448022,439100.0
2007-06-30,45.29,45.33,44.41,45.02,618200.0,0.0,1.0,38.154994810430544,38.18869319401229,37.41363037163216,37.92753072125377,618200.0
2007-07-31,41.87,42.87,39.64,39.87,927700.0,0.0,1.0,35.27378301419136,36.11624260373498,33.395098129509094,33.58886383510412,927700.0
2007-08-31,42.51,42.65,41.42,41.94,598600.0,0.0,1.0,35.925340908250845,36.04365536901666,35.0041783208598,35.44363203227571,598600.0
