Date,Value
2005-01-31,314125.0
2005-02-28,307750.0
2005-03-31,291750.0
2005-04-30,304400.0
2005-05-31,296205.0
2005-06-30,305570.0
2005-07-31,345730.0
2005-08-31,398445.0
2005-09-30,364125.0
2005-10-31,333375.0
2005-11-30,328000.0
2005-12-31,332150.0
2006-01-31,338200.0
2006-02-28,322200.0
2006-03-31,333200.0
2006-04-30,310750.0
2006-05-31,302250.0
2006-06-30,321900.0
2006-07-31,330155.0
2006-08-31,322270.0
2006-09-30,307950.0
2006-10-31,310190.0
2006-11-30,297935.0
2006-12-31,287900.0
2007-01-31,300265.0
2007-02-28,303185.0
2007-03-31,294420.0
2007-04-30,294780.0
2007-05-31,296450.0
2007-06-30,311600.0
2007-07-31,305800.0
2007-08-31,313500.0
2007-09-30,284800.0
2007-10-31,270700.0
2007-11-30,291350.0
2007-12-31,284150.0
2008-01-31,287075.0
2008-02-29,275675.0
2008-03-31,307365.0
2008-04-30,313035.0
2008-05-31,312550.0
2008-06-30,301325.0
2008-07-31,305375.0
2008-08-31,301950.0
2008-09-30,295750.0
2008-10-31,316050.0
2008-11-30,321000.0
2008-12-31,328450.0
2009-01-31,278400.0
2009-02-28,279960.0
2009-03-31,296740.0
2009-04-30,290215.0
2009-05-31,320685.0
2009-06-30,308300.0
2009-07-31,306500.0
2009-08-31,285650.0
2009-09-30,296200.0
2009-10-31,285400.0
2009-11-30,299375.0
2009-12-31,273625.0
2010-01-31,284500.0
2010-02-28,267300.0
2010-03-31,269100.0
2010-04-30,286400.0
2010-05-31,287050.0
2010-06-30,298105.0
2010-07-31,311650.0
2010-08-31,315860.0
2010-09-30,320690.0
2010-10-31,321000.0
2010-11-30,330000.0
2010-12-31,2571475.0
2011-01-31,1866725.0
2011-02-28,982965.0
2011-03-31,302860.0
2011-04-30,323875.0
2011-05-31,322725.0
2011-06-30,305325.0
2011-07-31,314950.0
2011-08-31,332500.0
2011-09-30,328500.0
2011-10-31,316340.0
2011-11-30,316585.0
2011-12-31,319600.0
2012-01-31,301550.0
2012-02-29,246000.0
2012-03-31,251825.0
2012-04-30,248500.0
2012-05-31,287375.0
2012-06-30,297800.0
2012-07-31,308000.0
2012-08-31,306900.0
2012-09-30,308900.0
2012-10-31,289400.0
2012-11-30,296000.0
2012-12-31,291500.0
2013-01-31,288850.0
2013-02-28,276070.0
2013-03-31,285230.0
2013-04-30,280600.0
2013-05-31,293575.0
2013-06-30,305825.0
2013-07-31,331300.0
2013-08-31,298250.0
2013-09-30,304950.0
2013-10-31,310200.0
2013-11-30,340330.0
2013-12-31,323370.0
2014-01-31,313250.0
2014-02-28,295975.0
2014-03-31,306225.0
2014-04-30,322215.0
2014-05-31,333240.0
2014-06-30,337910.0
2014-07-31,349215.0
2014-08-31,356065.0
2014-09-30,334855.0
2014-10-31,335580.0
2014-11-30,325250.0
2014-12-31,330150.0
2015-01-31,324850.0
2015-02-28,319650.0
2015-03-31,330575.0
2015-04-30,332925.0
2015-05-31,332250.0
2015-06-30,338750.0
2015-07-31,341125.0
2015-08-31,338625.0
2015-09-30,339250.0
2015-10-31,339950.0
2015-11-30,342550.0
2015-12-31,345575.0
