Date,Value
2005-01-31,103735.0
2005-02-28,102265.0
2005-03-31,101015.0
2005-04-30,102760.0
2005-05-31,108790.0
2005-06-30,110635.0
2005-07-31,110600.0
2005-08-31,108650.0
2005-09-30,108005.0
2005-10-31,109310.0
2005-11-30,110000.0
2005-12-31,111635.0
2006-01-31,112050.0
2006-02-28,106150.0
2006-03-31,104050.0
2006-04-30,104825.0
2006-05-31,110950.0
2006-06-30,116325.0
2006-07-31,118675.0
2006-08-31,115540.0
2006-09-30,108785.0
2006-10-31,105525.0
2006-11-30,102775.0
2006-12-31,106050.0
2007-01-31,107115.0
2007-02-28,105435.0
2007-03-31,109050.0
2007-04-30,108315.0
2007-05-31,119185.0
2007-06-30,125650.0
2007-07-31,124975.0
2007-08-31,124125.0
2007-09-30,121900.0
2007-10-31,118250.0
2007-11-30,119250.0
2007-12-31,114950.0
2008-01-31,111800.0
2008-02-29,110000.0
2008-03-31,115500.0
2008-04-30,122100.0
2008-05-31,124425.0
2008-06-30,127375.0
2008-07-31,128050.0
2008-08-31,125015.0
2008-09-30,119210.0
2008-10-31,115475.0
2008-11-30,117650.0
2008-12-31,112800.0
2009-01-31,112495.0
2009-02-28,108405.0
2009-03-31,107850.0
2009-04-30,111050.0
2009-05-31,114400.0
2009-06-30,121815.0
2009-07-31,139185.0
2009-08-31,129600.0
2009-09-30,120288.75
2009-10-31,114300.0
2009-11-30,114575.0
2009-12-31,107490.0
2010-01-31,97910.0
2010-02-28,94425.0
2010-03-31,101900.0
2010-04-30,109250.0
2010-05-31,113200.0
2010-06-30,110455.0
2010-07-31,107345.0
2010-08-31,100475.0
2010-09-30,93550.0
2010-10-31,93225.0
2010-11-30,90900.0
2010-12-31,95250.0
2011-01-31,87700.0
2011-02-28,76650.0
2011-03-31,84650.0
2011-04-30,87000.0
2011-05-31,93200.0
2011-06-30,96875.0
2011-07-31,97250.0
2011-08-31,106612.5
2011-09-30,106147.5
2011-10-31,95687.5
2011-11-30,88507.75
2011-12-31,87594.5
2012-01-31,67950.0
2012-02-29,74700.0
2012-03-31,81450.0
2012-04-30,83950.0
2012-05-31,84300.0
2012-06-30,91525.0
2012-07-31,92450.0
2012-08-31,86225.0
2012-09-30,86465.0
2012-10-31,92935.0
2012-11-30,110365.0
2012-12-31,101160.0
2013-01-31,89350.0
2013-02-28,77100.0
2013-03-31,75750.0
2013-04-30,88425.0
2013-05-31,105270.3
2013-06-30,125775.0
2013-07-31,134015.0
2013-08-31,136485.0
2013-09-30,133550.0
2013-10-31,127700.0
2013-11-30,123000.0
2013-12-31,119515.0
2014-01-31,110400.0
2014-02-28,101275.0
2014-03-31,113020.0
2014-04-30,117935.0
2014-05-31,118515.0
2014-06-30,127860.0
2014-07-31,130750.0
2014-08-31,127125.0
2014-09-30,123450.0
2014-10-31,122675.0
2014-11-30,116425.0
2014-12-31,109450.0
2015-01-31,103250.0
2015-02-28,103250.0
2015-03-31,110500.0
2015-04-30,119375.0
2015-05-31,126250.0
2015-06-30,133687.5
2015-07-31,131130.0
2015-08-31,129457.5
2015-09-30,124050.0
2015-10-31,121350.0
2015-11-30,119500.0
2015-12-31,118600.0
