Date,Value
2005-01-31,346000.0
2005-02-28,348750.0
2005-03-31,344250.0
2005-04-30,339900.0
2005-05-31,325500.0
2005-06-30,337550.0
2005-07-31,332300.0
2005-08-31,331125.0
2005-09-30,338875.0
2005-10-31,355500.0
2005-11-30,360450.0
2005-12-31,360466.5
2006-01-31,341936.55
2006-02-28,312504.95
2006-03-31,358925.0
2006-04-30,373625.0
2006-05-31,406425.0
2006-06-30,412200.0
2006-07-31,416550.0
2006-08-31,406700.0
2006-09-30,402900.0
2006-10-31,405050.0
2006-11-30,423450.0
2006-12-31,427850.0
2007-01-31,425750.0
2007-02-28,423950.0
2007-03-31,423316.5
2007-04-30,420636.55
2007-05-31,407179.95
2007-06-30,370950.0
2007-07-31,345750.0
2007-08-31,349650.0
2007-09-30,367230.0
2007-10-31,374920.0
2007-11-30,378250.0
2007-12-31,389250.0
2008-01-31,382000.0
2008-02-29,374700.0
2008-03-31,429506.5
2008-05-31,323559.95
2008-06-30,286425.0
2008-07-31,333325.0
2008-08-31,388500.0
2008-09-30,381000.0
2008-10-31,380950.0
2008-11-30,404183.0
2008-12-31,409443.1
2009-01-31,394689.9
2009-02-28,395500.0
2009-03-31,398250.0
2009-04-30,385400.0
2009-05-31,401850.0
2009-06-30,397750.0
2009-07-31,399500.0
2009-08-31,390000.0
2009-09-30,396500.0
2009-10-31,397000.0
2009-11-30,409000.0
2009-12-31,393750.0
2010-01-31,369250.0
2010-02-28,365016.5
2010-03-31,377886.55
2010-04-30,399879.95
2010-05-31,403750.0
2010-06-30,414750.0
2010-07-31,428750.0
2010-08-31,457750.0
2010-09-30,479000.0
2010-10-31,475750.0
2010-11-30,443825.0
2010-12-31,444175.0
2011-01-31,419750.0
2011-02-28,409000.0
2011-03-31,419250.0
2011-04-30,438500.0
2011-05-31,424900.0
2011-06-30,406575.0
2011-07-31,390375.0
2011-08-31,395775.0
2011-09-30,411625.0
2011-10-31,426800.0
2011-11-30,453550.0
2011-12-31,449512.5
2012-01-31,404000.0
2012-02-29,401250.0
2012-03-31,389950.0
2012-04-30,390800.0
2012-05-31,395250.0
2012-06-30,389250.0
2012-07-31,399000.0
2012-08-31,401200.0
2012-09-30,427000.0
2012-10-31,428350.0
2012-11-30,440250.0
2012-12-31,433250.0
2013-01-31,431700.0
2013-02-28,419800.0
2013-03-31,418200.0
2013-04-30,426700.0
2013-05-31,425975.0
2013-06-30,419225.0
2013-07-31,429780.0
2013-08-31,441800.0
2013-09-30,442250.0
2013-10-31,415100.0
2013-11-30,421650.0
2013-12-31,427500.0
2014-01-31,421500.0
2014-02-28,413500.0
2014-03-31,455350.0
2014-04-30,452400.0
2014-05-31,456500.0
2014-06-30,471250.0
2014-07-31,470500.0
2014-08-31,459500.0
2014-09-30,476500.0
2014-10-31,465000.0
2014-11-30,455750.0
2014-12-31,473750.0
2015-01-31,495650.0
2015-02-28,479800.0
2015-03-31,474300.0
2015-04-30,450050.0
2015-05-31,449350.0
2015-06-30,436100.0
2015-07-31,444500.0
2015-08-31,453000.0
2015-09-30,468250.0
2015-10-31,471300.0
2015-11-30,464950.0
2015-12-31,463125.0
