Date,Value
2005-01-31,241690.0
2005-02-28,247183.0
2005-03-31,252257.0
2005-04-30,253250.0
2005-05-31,256617.5
2005-06-30,258822.25
2005-07-31,260945.25
2005-08-31,263200.0
2005-09-30,263550.0
2005-10-31,260795.0
2005-11-30,256996.5
2005-12-31,256773.5
2006-01-31,260975.0
2006-02-28,263950.0
2006-03-31,269000.0
2006-04-30,275800.0
2006-05-31,281800.0
2006-06-30,286900.0
2006-07-31,287250.0
2006-08-31,285600.0
2006-09-30,282300.0
2006-10-31,282932.5
2006-11-30,284132.75
2006-12-31,281949.75
2007-01-31,283400.0
2007-02-28,281950.0
2007-03-31,278150.0
2007-04-30,281109.5
2007-05-31,278544.15
2007-06-30,277481.85
2007-07-31,278123.5
2007-08-31,294545.0
2007-09-30,290496.5
2007-10-31,279498.5
2007-11-30,266500.0
2007-12-31,267100.0
2008-01-31,257420.0
2008-02-29,257130.0
2008-03-31,254550.0
2008-04-30,254550.0
2008-05-31,251850.0
2008-06-30,249600.0
2008-07-31,245300.0
2008-08-31,236900.0
2008-09-30,226330.0
2008-10-31,221171.0
2008-11-30,212859.0
2008-12-31,208019.0
2009-01-31,202943.3
2009-02-28,198299.2
2009-03-31,190696.45
2009-04-30,183477.05
2009-05-31,179900.0
2009-06-30,176000.0
2009-07-31,172400.0
2009-08-31,162950.0
2009-09-30,154750.0
2009-10-31,150750.0
2009-11-30,145000.0
2009-12-31,141450.0
2010-01-31,141415.0
2010-02-28,128875.0
2010-03-31,130447.5
2010-04-30,133312.5
2010-05-31,135725.0
2010-06-30,135150.0
2010-07-31,130000.0
2010-08-31,131500.0
2010-09-30,133500.0
2010-10-31,131500.0
2010-11-30,132050.0
2010-12-31,132350.0
2011-01-31,128975.0
2011-02-28,126125.0
2011-03-31,125000.0
2011-04-30,126250.0
2011-05-31,127375.0
2011-06-30,126425.0
2011-07-31,126450.0
2011-08-31,125700.0
2011-09-30,124800.0
2011-10-31,121650.0
2011-11-30,119250.0
2011-12-31,119900.0
2012-01-31,113880.0
2012-02-29,115008.5
2012-03-31,116579.1
2012-04-30,116824.0
2012-05-31,119950.0
2012-06-30,121610.0
2012-07-31,125346.5
2012-08-31,129750.0
2012-09-30,133250.0
2012-10-31,134700.0
2012-11-30,138500.0
2012-12-31,143950.0
2013-01-31,145600.0
2013-02-28,148950.0
2013-03-31,154950.0
2013-04-30,159800.0
2013-05-31,160700.0
2013-06-30,165225.0
2013-07-31,168500.0
2013-08-31,171751.0
2013-09-30,173585.0
2013-10-31,177215.0
2013-11-30,180250.0
2013-12-31,180200.0
2014-01-31,178950.0
2014-02-28,178285.0
2014-03-31,181164.7
2014-04-30,182556.3
2014-05-31,183125.0
2014-06-30,181723.5
2014-07-31,185881.3
2014-08-31,186296.5
2014-09-30,190248.5
2014-10-31,188150.0
2014-11-30,188850.0
2014-12-31,190250.0
2015-01-31,189200.0
2015-02-28,191100.0
2015-03-31,196098.0
2015-04-30,199232.1
2015-05-31,200075.9
2015-06-30,206250.0
2015-07-31,209325.0
2015-08-31,206840.0
2015-09-30,208035.0
2015-10-31,203300.0
2015-11-30,200700.0
2015-12-31,199025.0
