Date,Close
2005-01-31,43.22
2005-02-28,35.18
2005-03-31,34.27
2005-04-30,32.36
2005-05-31,35.51
2005-06-30,33.09
2005-07-31,45.15
2005-08-31,42.7
2005-09-30,45.3
2005-10-31,39.86
2005-11-30,48.46
2005-12-31,47.15
2006-01-31,44.82
2006-02-28,37.44
2006-03-31,36.53
2006-04-30,35.21
2006-05-31,34.61
2006-06-30,38.68
2006-07-31,26.89
2006-08-31,30.83
2006-09-30,32.12
2006-10-31,38.09
2006-11-30,40.34
2006-12-31,39.46
2007-01-31,37.67
2007-02-28,39.14
2007-03-31,39.79
2007-04-30,61.33
2007-05-31,69.14
2007-06-30,68.41
2007-07-31,78.54
2007-08-31,79.91
2007-09-30,93.15
2007-10-31,89.15
2007-11-30,90.56
2007-12-31,92.64
2008-01-31,77.7
2008-02-29,64.47
2008-03-31,71.3
2008-04-30,78.63
2008-05-31,81.62
2008-06-30,73.33
2008-07-31,76.34
2008-08-31,80.81
2008-09-30,72.76
2008-10-31,57.24
2008-11-30,42.7
2008-12-31,51.28
2009-01-31,58.82
2009-02-28,64.79
2009-03-31,73.44
2009-04-30,80.52
2009-05-31,77.99
2009-06-30,83.66
2009-07-31,85.76
2009-08-31,81.19
2009-09-30,93.36
2009-10-31,118.81
2009-11-30,135.91
2009-12-31,134.52
2010-01-31,125.41
2010-02-28,118.4
2010-03-31,135.77
2010-04-30,137.1
2010-05-31,125.46
2010-06-30,109.26
2010-07-31,117.89
2010-08-31,124.83
2010-09-30,157.06
2010-10-31,165.23
2010-11-30,175.4
2010-12-31,180.0
2011-01-31,169.64
2011-02-28,173.29
2011-03-31,180.13
2011-04-30,195.81
2011-05-31,196.69
2011-06-30,204.49
2011-07-31,222.52
2011-08-31,215.23
2011-09-30,216.23
2011-10-31,213.51
2011-11-30,192.29
2011-12-31,173.1
2012-01-31,194.44
2012-02-29,179.69
2012-03-31,202.51
2012-04-30,231.9
2012-05-31,212.91
2012-06-30,228.35
2012-07-31,233.3
2012-08-31,248.27
2012-09-30,254.32
2012-10-31,232.8931
2012-11-30,252.05
2012-12-31,250.87
2013-01-31,265.5
2013-02-28,264.27
2013-03-31,266.49
2013-04-30,253.81
2013-05-31,269.2
2013-06-30,277.69
2013-07-31,301.22
2013-08-31,280.98
2013-09-30,312.64
2013-10-31,364.03
2013-11-30,393.62
2013-12-31,398.79
2014-01-31,358.69
2014-02-28,362.1
2014-03-31,336.365
2014-04-30,304.13
2014-05-31,312.55
2014-06-30,324.78
2014-07-31,312.99
2014-08-31,339.04
2014-09-30,322.44
2014-10-31,305.46
2014-11-30,338.64
2014-12-31,310.35
2015-01-31,354.53
2015-02-28,380.16
2015-03-31,372.1
2015-04-30,421.78
2015-05-31,429.23
2015-06-30,434.09
2015-07-31,536.15
2015-08-31,512.89
2015-09-30,511.67
2015-10-31,625.9
2015-11-30,664.8
2015-12-31,675.89
