Date,Close
2005-01-31,121.5
2005-02-28,122.06
2005-03-31,125.35
2005-04-30,127.75
2005-05-31,133.0
2005-06-30,69.64
2005-07-31,70.74
2005-08-31,74.25
2005-09-30,75.82
2005-10-31,74.68
2005-11-30,76.83
2005-12-31,79.79
2006-01-31,76.8
2006-02-28,76.79
2006-03-31,77.43
2006-04-30,71.0
2006-05-31,71.58
2006-06-30,72.77
2006-07-31,74.5
2006-08-31,77.41
2006-09-30,77.05
2006-10-31,76.32
2006-11-30,75.67
2006-12-31,78.69
2007-01-31,78.38
2007-02-28,79.39
2007-03-31,81.1
2007-04-30,78.97
2007-05-31,81.41
2007-06-30,79.83
2007-07-31,75.12
2007-08-31,80.59
2007-09-30,78.92
2007-10-31,79.23
2007-11-30,84.21
2007-12-31,87.73
2008-01-31,78.2
2008-02-29,70.08
2008-03-31,44.13
2008-04-30,49.75
2008-05-31,55.82
2008-06-30,47.66
2008-07-31,52.45
2008-08-31,52.79
2008-09-30,46.77
2008-10-31,38.87
2008-11-30,35.6
2008-12-31,42.13
2009-01-31,41.45
2009-02-28,33.92
2009-03-31,37.97
2009-04-30,42.76
2009-05-31,46.57
2009-06-30,50.89
2009-07-31,52.64
2009-08-31,52.85
2009-09-30,47.36
2009-10-31,46.76
2009-11-30,54.03
2009-12-31,58.29
2010-01-31,63.72
2010-02-28,61.87
2010-03-31,64.38
2010-04-30,53.8
2010-05-31,51.3
2010-06-30,48.93
2010-07-31,50.72
2010-08-31,49.66
2010-09-30,56.64
2010-10-31,54.34
2010-11-30,55.74
2010-12-31,56.86
2011-01-31,62.12
2011-02-28,66.47
2011-03-31,69.79
2011-04-30,76.79
2011-05-31,78.17
2011-06-30,78.77
2011-07-31,67.55
2011-08-31,63.3
2011-09-30,65.28
2011-10-31,68.9
2011-11-30,70.55
2011-12-31,66.25
2012-01-31,64.32
2012-02-29,65.63
2012-03-31,73.8
2012-04-30,67.82
2012-05-31,67.39
2012-06-30,63.79
2012-07-31,53.29
2012-08-31,59.87
2012-09-30,58.01
2012-10-31,61.3
2012-11-30,55.9
2012-12-31,60.92
2013-01-31,64.82
2013-02-28,62.18
2013-03-31,66.23
2013-04-30,72.92
2013-05-31,76.97
2013-06-30,81.84
2013-07-31,85.56
2013-08-31,85.14
2013-09-30,83.61
2013-10-31,84.8
2013-11-30,92.88
2013-12-31,92.39
2014-01-31,86.0
2014-02-28,90.59
2014-03-31,99.55
2014-04-30,100.68
2014-05-31,108.36
2014-06-30,107.61
2014-07-31,109.81
2014-08-31,116.51
2014-09-30,119.62
2014-10-31,126.69
2014-11-30,127.91
2014-12-31,125.67
2015-01-31,134.96
2015-02-28,146.45
2015-03-31,154.41
2015-04-30,150.93
2015-05-31,167.85
2015-06-30,164.14
2015-07-31,154.27
2015-08-31,141.05
2015-09-30,140.0
2015-10-31,139.15
2015-11-30,130.38
2015-12-31,139.44
