Date,Close
2005-01-31,46.37
2005-02-28,46.65
2005-03-31,44.1
2005-04-30,45.04
2005-05-31,46.32
2005-06-30,45.61
2005-07-31,43.6
2005-08-31,43.03
2005-09-30,42.1
2005-10-31,43.74
2005-11-30,45.89
2005-12-31,46.15
2006-01-31,44.23
2006-02-28,45.85
2006-03-31,45.54
2006-04-30,49.92
2006-05-31,48.4
2006-06-30,48.1
2006-07-31,51.53
2006-08-31,51.47
2006-09-30,53.57
2006-10-31,53.87
2006-11-30,53.85
2006-12-31,53.39
2007-01-31,52.58
2007-02-28,50.83
2007-03-31,51.02
2007-04-30,50.9
2007-05-31,50.71
2007-06-30,48.89
2007-07-31,47.42
2007-08-31,50.68
2007-09-30,50.27
2007-10-31,48.28
2007-11-30,46.13
2007-12-31,41.26
2008-01-31,44.15
2008-02-29,39.74
2008-03-31,37.91
2008-04-30,37.54
2008-05-31,34.01
2008-06-30,23.87
2008-07-31,32.9
2008-08-31,31.14
2008-09-30,35.0
2008-10-31,24.17
2008-11-30,16.25
2008-12-31,14.08
2009-01-31,6.58
2009-02-28,3.95
2009-03-31,6.82
2009-04-30,8.93
2009-05-31,11.27
2009-06-30,13.2
2009-07-31,14.79
2009-08-31,17.59
2009-09-30,16.92
2009-10-31,14.58
2009-11-30,15.85
2009-12-31,15.06
2010-01-31,15.18
2010-02-28,16.66
2010-03-31,17.85
2010-04-30,17.83
2010-05-31,15.74
2010-06-30,14.37
2010-07-31,14.04
2010-08-31,12.46
2010-09-30,13.1025
2010-10-31,11.449
2010-11-30,10.95
2010-12-31,13.34
2011-01-31,13.73
2011-02-28,14.29
2011-03-31,13.33
2011-04-30,12.28
2011-05-31,11.75
2011-06-30,10.96
2011-07-31,9.71
2011-08-31,8.17
2011-09-30,6.12
2011-10-31,6.83
2011-11-30,5.44
2011-12-31,5.56
2012-01-31,7.13
2012-02-29,7.97
2012-03-31,9.57
2012-04-30,8.11
2012-05-31,7.35
2012-06-30,8.18
2012-07-31,7.34
2012-08-31,7.99
2012-09-30,8.83
2012-10-31,9.32
2012-11-30,9.86
2012-12-31,11.61
2013-01-31,11.32
2013-02-28,11.23
2013-03-31,12.18
2013-04-30,12.31
2013-05-31,13.66
2013-06-30,12.86
2013-07-31,14.6
2013-08-31,14.12
2013-09-30,13.8
2013-10-31,13.97
2013-11-30,15.82
2013-12-31,15.57
2014-01-31,16.75
2014-02-28,16.53
2014-03-31,17.2
2014-04-30,15.14
2014-05-31,15.14
2014-06-30,15.37
2014-07-31,15.25
2014-08-31,16.09
2014-09-30,17.05
2014-10-31,17.16
2014-11-30,17.04
2014-12-31,17.89
2015-01-31,15.15
2015-02-28,15.81
2015-03-31,15.39
2015-04-30,15.93
2015-05-31,16.5
2015-06-30,17.02
2015-07-31,17.88
2015-08-31,16.34
2015-09-30,15.58
2015-10-31,16.78
2015-11-30,17.43
2015-12-31,16.83
