Date,Close
2005-01-31,56.32
2005-02-28,58.55
2005-03-31,55.8
2005-04-30,55.57
2005-05-31,57.93
2005-06-30,57.58
2005-07-31,59.58
2005-08-31,59.61
2005-09-30,63.44
2005-10-31,62.51
2005-11-30,63.95
2005-12-31,68.75
2006-01-31,72.04
2006-02-28,72.6
2006-03-31,74.52
2006-04-30,67.35
2006-05-31,66.91
2006-06-30,64.33
2006-07-31,67.0
2006-08-31,67.42
2006-09-30,65.74
2006-10-31,65.45
2006-11-30,64.62
2006-12-31,64.43
2007-01-31,71.42
2007-02-28,70.11
2007-03-31,72.95
2007-04-30,69.95
2007-05-31,72.46
2007-06-30,70.64
2007-07-31,65.73
2007-08-31,68.38
2007-09-30,62.53
2007-10-31,68.03
2007-11-30,60.55
2007-12-31,57.75
2008-01-31,58.0
2008-02-29,59.14
2008-03-31,52.51
2008-04-30,52.07
2008-05-31,56.54
2008-06-30,51.58
2008-07-31,53.73
2008-08-31,54.98
2008-09-30,49.28
2008-10-31,38.2
2008-11-30,32.52
2008-12-31,34.47
2009-01-31,37.65
2009-02-28,32.45
2009-03-31,31.48
2009-04-30,33.79
2009-05-31,35.75
2009-06-30,30.55
2009-07-31,33.3
2009-08-31,34.58
2009-09-30,26.8
2009-10-31,28.34
2009-11-30,32.23
2009-12-31,32.24
2010-01-31,33.07
2010-02-28,33.97
2010-03-31,36.03
2010-04-30,34.69
2010-05-31,34.49
2010-06-30,33.61
2010-07-31,32.27
2010-08-31,29.96
2010-09-30,33.04
2010-10-31,34.69
2010-11-30,35.58
2010-12-31,38.31
2011-01-31,41.51
2011-02-28,41.64
2011-03-31,41.13
2011-04-30,43.69
2011-05-31,45.42
2011-06-30,45.42
2011-07-31,43.76
2011-08-31,42.5
2011-09-30,41.88
2011-10-31,44.27
2011-11-30,42.46
2011-12-31,40.61
2012-01-31,43.03
2012-02-29,41.55
2012-03-31,43.11
2012-04-30,42.27
2012-05-31,41.38
2012-06-30,42.0
2012-07-31,43.09
2012-08-31,39.55
2012-09-30,38.97
2012-10-31,41.13
2012-11-30,40.45
2012-12-31,41.18
2013-01-31,43.81
2013-02-28,46.21
2013-03-31,41.62
2013-04-30,44.22
2013-05-31,46.96
2013-06-30,47.2
2013-07-31,50.09
2013-08-31,50.28
2013-09-30,52.15
2013-10-31,58.66
2013-11-30,64.6
2013-12-31,66.81
2014-01-31,68.02
2014-02-28,71.53
2014-03-31,69.98
2014-04-30,69.51
2014-05-31,70.63
2014-06-30,68.56
2014-07-31,71.65
2014-08-31,73.7
2014-09-30,74.92
2014-10-31,78.48
2014-11-30,82.19
2014-12-31,80.73
2015-01-31,83.19
2015-02-28,87.99
2015-03-31,90.27
2015-04-30,84.34
2015-05-31,88.17
2015-06-30,83.65
2015-07-31,84.98
2015-08-31,82.27
2015-09-30,76.82
2015-10-31,82.2
2015-11-30,86.85
2015-12-31,89.27
