Date,Close
2005-01-31,6.64
2005-02-28,6.51
2005-03-31,6.54
2005-04-30,5.92
2005-05-31,5.34
2005-06-30,4.05
2005-07-31,4.61
2005-08-31,3.7
2005-09-30,2.94
2005-10-31,2.66
2005-11-30,3.8
2005-12-31,3.99
2006-01-31,3.75
2006-02-28,4.95
2006-03-31,5.21
2006-04-30,3.66
2006-05-31,3.85
2006-06-30,3.4
2006-07-31,3.29
2006-08-31,3.95
2006-09-30,4.16
2006-10-31,4.08
2006-11-30,4.66
2006-12-31,4.9
2007-01-31,6.0
2007-02-28,4.64
2007-03-31,3.15
2007-04-30,3.35
2007-05-31,3.87
2007-06-30,3.62
2007-07-31,2.96
2007-08-31,3.65
2007-09-30,4.38
2007-10-31,5.15
2007-11-30,5.13
2007-12-31,5.1
2008-01-31,5.07
2008-02-29,5.2
2008-03-31,6.0
2008-04-30,7.95
2008-05-31,7.32
2008-06-30,6.95
2008-07-31,8.82
2008-08-31,9.03
2008-09-30,9.28
2008-10-31,7.0
2008-11-30,4.48
2008-12-31,6.38
2009-01-31,4.07
2009-02-28,3.17
2009-03-31,3.73
2009-04-30,4.99
2009-05-31,5.26
2009-06-30,6.02
2009-07-31,6.39
2009-08-31,7.32
2009-09-30,8.26
2009-10-31,7.09
2009-11-30,6.24
2009-12-31,7.0
2010-01-31,5.94
2010-02-28,7.78
2010-03-31,7.37
2010-04-30,7.12
2010-05-31,7.12
2010-06-30,5.17
2010-07-31,6.0
2010-08-31,4.9
2010-09-30,5.99
2010-10-31,7.32
2010-11-30,7.9
2010-12-31,7.84
2011-01-31,7.39
2011-02-28,6.64
2011-03-31,6.01
2011-04-30,5.84
2011-05-31,5.54
2011-06-30,5.7
2011-07-31,4.7
2011-08-31,4.18
2011-09-30,4.21
2011-10-31,5.35
2011-11-30,5.95
2011-12-31,5.8
2012-01-31,6.96
2012-02-29,5.31
2012-03-31,5.23
2012-04-30,5.66
2012-05-31,5.78
2012-06-30,6.51
2012-07-31,6.37
2012-08-31,5.93
2012-09-30,5.59
2012-10-31,5.93
2012-11-30,6.24
2012-12-31,6.57
2013-01-31,5.77
2013-02-28,5.67
2013-03-31,5.77
2013-04-30,5.49
2013-05-31,5.96
2013-06-30,6.11
2013-07-31,7.64
2013-08-31,7.0
2013-09-30,7.44
2013-10-31,8.245
2013-11-30,9.12
2013-12-31,9.63
2014-01-31,10.16
2014-02-28,12.04
2014-03-31,13.96
2014-04-30,14.45
2014-05-31,15.44
2014-06-30,13.71
2014-07-31,13.93
2014-08-31,15.6
2014-09-30,13.45
2014-10-31,17.34
2014-11-30,20.29
2014-12-31,26.05
2015-01-31,19.44
2015-02-28,18.51
2015-03-31,22.025
2015-04-30,23.08
2015-05-31,24.22
2015-06-30,23.75
2015-07-31,21.72
2015-08-31,22.66
2015-09-30,24.68
2015-10-31,34.7
2015-11-30,36.2
2015-12-31,35.33
