Date,Close
2005-01-31,41.26
2005-02-28,40.02
2005-03-31,38.24
2005-04-30,35.37
2005-05-31,39.35
2005-06-30,38.9
2005-07-31,43.51
2005-08-31,40.32
2005-09-30,38.14
2005-10-31,41.04
2005-11-30,41.78
2005-12-31,40.48
2006-01-31,40.55
2006-02-28,42.15
2006-03-31,42.3
2006-04-30,39.93
2006-05-31,38.12
2006-06-30,35.79
2006-07-31,34.71
2006-08-31,34.29
2006-09-30,36.27
2006-10-31,37.33
2006-11-30,37.97
2006-12-31,40.16
2007-01-31,40.74
2007-02-28,39.59
2007-03-31,36.74
2007-04-30,37.87
2007-05-31,38.87
2007-06-30,39.35
2007-07-31,37.17
2007-08-31,38.31
2007-09-30,32.44
2007-10-31,31.51
2007-11-30,28.56
2007-12-31,26.94
2008-01-31,30.64
2008-02-29,26.55
2008-03-31,27.97
2008-04-30,28.8
2008-05-31,27.36
2008-06-30,23.42
2008-07-31,23.83
2008-08-31,27.12
2008-09-30,25.89
2008-10-31,23.59
2008-11-30,23.11
2008-12-31,23.02
2009-01-31,21.53
2009-02-28,20.89
2009-03-31,23.56
2009-04-30,26.32
2009-05-31,23.16
2009-06-30,23.63
2009-07-31,25.94
2009-08-31,27.29
2009-09-30,26.64
2009-10-31,25.09
2009-11-30,27.13
2009-12-31,28.93
2010-01-31,28.01
2010-02-28,31.2
2010-03-31,32.35
2010-04-30,35.23
2010-05-31,33.86
2010-06-30,28.07
2010-07-31,28.51
2010-08-31,27.82
2010-09-30,31.68
2010-10-31,30.9
2010-11-30,30.21
2010-12-31,35.06
2011-01-31,36.77
2011-02-28,37.47
2011-03-31,37.06
2011-04-30,37.15
2011-05-31,36.28
2011-06-30,36.22
2011-07-31,34.93
2011-08-31,33.38
2011-09-30,32.87
2011-10-31,35.8
2011-11-30,39.22
2011-12-31,42.04
2012-01-31,44.39
2012-02-29,47.57
2012-03-31,50.31
2012-04-30,51.79
2012-05-31,49.34
2012-06-30,52.99
2012-07-31,52.18
2012-08-31,56.75
2012-09-30,60.37
2012-10-31,61.38
2012-11-30,65.07
2012-12-31,61.85
2013-01-31,66.92
2013-02-28,68.5
2013-03-31,69.78
2013-04-30,73.35
2013-05-31,78.66
2013-06-30,77.47
2013-07-31,79.03
2013-08-31,74.49
2013-09-30,75.85
2013-10-31,77.89
2013-11-30,80.67
2013-12-31,82.34
2014-01-31,76.85
2014-02-28,82.03
2014-03-31,79.13
2014-04-30,79.51
2014-05-31,80.23
2014-06-30,80.96
2014-07-31,80.85
2014-08-31,93.5
2014-09-30,91.74
2014-10-31,97.52
2014-11-30,99.4
2014-12-31,104.97
2015-01-31,104.42
2015-02-28,114.75
2015-03-31,113.61
2015-04-30,106.98
2015-05-31,111.42
2015-06-30,111.13
2015-07-31,117.03
2015-08-31,116.46
2015-09-30,115.49
2015-10-31,123.64
2015-11-30,133.88
2015-12-31,132.25
