Date,Close
2005-01-31,43.4
2005-02-28,47.9
2005-03-31,45.0
2005-04-30,37.45
2005-05-31,36.26
2005-06-30,35.75
2005-07-31,40.22
2005-08-31,35.29
2005-09-30,32.91
2005-10-31,34.3
2005-11-30,41.71
2005-12-31,39.47
2006-01-31,51.35
2006-02-28,53.35
2006-03-31,56.66
2006-04-30,64.81
2006-05-31,70.61
2006-06-30,77.86
2006-07-31,62.03
2006-08-31,69.81
2006-09-30,68.35
2006-10-31,76.2
2006-11-30,91.56
2006-12-31,89.48
2007-01-31,104.07
2007-02-28,86.34
2007-03-31,86.61
2007-04-30,85.19
2007-05-31,78.02
2007-06-30,76.39
2007-07-31,87.25
2007-08-31,99.7
2007-09-30,133.42
2007-10-31,133.08
2007-11-30,113.4
2007-12-31,103.05
2008-01-31,87.75
2008-02-29,83.3
2008-03-31,73.64
2008-04-30,76.22
2008-05-31,69.44
2008-06-30,47.44
2008-07-31,45.52
2008-08-31,47.41
2008-09-30,36.11
2008-10-31,14.19
2008-11-30,5.17
2008-12-31,5.93
2009-01-31,5.15
2009-02-28,2.28
2009-03-31,3.01
2009-04-30,7.82
2009-05-31,9.91
2009-06-30,7.86
2009-07-31,9.35
2009-08-31,14.26
2009-09-30,16.84
2009-10-31,15.09
2009-11-30,15.32
2009-12-31,14.94
2010-01-31,15.5
2010-02-28,16.63
2010-03-31,21.15
2010-04-30,24.86
2010-05-31,23.48
2010-06-30,22.14
2010-07-31,26.86
2010-08-31,28.33
2010-09-30,34.85
2010-10-31,45.88
2010-11-30,50.08
2010-12-31,45.95
2011-01-31,46.49
2011-02-28,46.64
2011-03-31,42.22
2011-04-30,47.01
2011-05-31,41.54
2011-06-30,42.21
2011-07-31,47.18
2011-08-31,46.57
2011-09-30,38.34
2011-10-31,46.95
2011-11-30,46.71
2011-12-31,42.73
2012-01-31,49.11
2012-02-29,55.61
2012-03-31,57.57
2012-04-30,55.49
2012-05-31,46.18
2012-06-30,43.49
2012-07-31,36.42
2012-08-31,42.39
2012-09-30,46.37
2012-10-31,46.44
2012-11-30,46.65
2012-12-31,46.16
2013-01-31,55.25
2013-02-28,51.49
2013-03-31,56.35
2013-04-30,56.25
2013-05-31,57.9
2013-06-30,52.93
2013-07-31,55.57
2013-08-31,56.35
2013-09-30,66.42
2013-10-31,70.22
2013-11-30,71.68
2013-12-31,78.87
2014-01-31,76.52
2014-02-28,85.25
2014-03-31,80.78
2014-04-30,79.13
2014-05-31,76.52
2014-06-30,76.22
2014-07-31,73.85
2014-08-31,66.51
2014-09-30,62.21
2014-10-31,62.26
2014-11-30,63.69
2014-12-31,58.16
2015-01-31,54.37
2015-02-28,56.9
2015-03-31,55.04
2015-04-30,52.88
2015-05-31,50.83
2015-06-30,52.57
2015-07-31,56.04
2015-08-31,46.23
2015-09-30,37.97
2015-10-31,49.51
2015-11-30,44.06
2015-12-31,43.84
