Date,Close
2005-01-31,40.58
2005-02-28,39.02
2005-03-31,38.49
2005-04-30,39.08
2005-05-31,39.89
2005-06-30,41.9
2005-07-31,43.95
2005-08-31,45.8
2005-09-30,47.37
2005-10-31,49.63
2005-11-30,50.67
2005-12-31,47.43
2006-01-31,47.16
2006-02-28,48.72
2006-03-31,48.8
2006-04-30,51.31
2006-05-31,54.65
2006-06-30,55.65
2006-07-31,54.0
2006-08-31,53.24
2006-09-30,54.28
2006-10-31,56.49
2006-11-30,57.75
2006-12-31,58.7
2007-01-31,61.61
2007-02-28,60.87
2007-03-31,59.87
2007-04-30,63.49
2007-05-31,60.8
2007-06-30,58.29
2007-07-31,56.39
2007-08-31,55.49
2007-09-30,63.09
2007-10-31,67.67
2007-11-30,65.49
2007-12-31,68.84
2008-01-31,59.61
2008-02-29,55.23
2008-03-31,55.72
2008-04-30,53.66
2008-05-31,53.88
2008-06-30,41.97
2008-07-31,42.51
2008-08-31,45.79
2008-09-30,43.49
2008-10-31,18.99
2008-11-30,13.81
2008-12-31,22.57
2009-01-31,16.59
2009-02-28,7.99
2009-03-31,8.18
2009-04-30,16.34
2009-05-31,22.2
2009-06-30,18.84
2009-07-31,23.7
2009-08-31,28.4
2009-09-30,27.39
2009-10-31,25.04
2009-11-30,25.39
2009-12-31,24.04
2010-01-31,23.05
2010-02-28,23.21
2010-03-31,29.21
2010-04-30,29.22
2010-05-31,27.19
2010-06-30,23.44
2010-07-31,25.61
2010-08-31,23.05
2010-09-30,25.92
2010-10-31,26.84
2010-11-30,27.24
2010-12-31,32.56
2011-01-31,32.77
2011-02-28,34.26
2011-03-31,32.11
2011-04-30,33.75
2011-05-31,31.27
2011-06-30,30.42
2011-07-31,27.63
2011-08-31,25.36
2011-09-30,22.67
2011-10-31,25.78
2011-11-30,24.13
2011-12-31,24.6
2012-01-31,27.31
2012-02-29,27.66
2012-03-31,29.51
2012-04-30,27.67
2012-05-31,24.56
2012-06-30,26.23
2012-07-31,25.59
2012-08-31,27.44
2012-09-30,26.94
2012-10-31,27.54
2012-11-30,27.15
2012-12-31,28.52
2013-01-31,31.01
2013-02-28,31.61
2013-03-31,34.03
2013-04-30,36.1
2013-05-31,37.85
2013-06-30,37.45
2013-07-31,43.36
2013-08-31,40.92
2013-09-30,42.82
2013-10-31,47.46
2013-11-30,50.63
2013-12-31,49.31
2014-01-31,43.57
2014-02-28,45.35
2014-03-31,45.99
2014-04-30,46.84
2014-05-31,46.77
2014-06-30,50.48
2014-07-31,49.68
2014-08-31,54.29
2014-09-30,52.47
2014-10-31,52.37
2014-11-30,53.27
2014-12-31,51.94
2015-01-31,46.93
2015-02-28,51.17
2015-03-31,51.37
2015-04-30,51.12
2015-05-31,51.69
2015-06-30,51.29
2015-07-31,55.51
2015-08-31,50.35
2015-09-30,47.34
2015-10-31,50.16
2015-11-30,51.46
2015-12-31,44.98
