Date,Close
2005-01-31,43.71
2005-02-28,44.87
2005-03-31,43.21
2005-04-30,36.24
2005-05-31,37.9
2005-06-30,45.44
2005-07-31,43.09
2005-08-31,36.93
2005-09-30,37.16
2005-10-31,34.51
2005-11-30,35.62
2005-12-31,30.53
2006-01-31,28.0
2006-02-28,23.32
2006-03-31,22.4
2006-04-30,26.51
2006-05-31,30.62
2006-06-30,27.99
2006-07-31,25.91
2006-08-31,31.26
2006-09-30,32.36
2006-10-31,26.53
2006-11-30,27.68
2006-12-31,30.29
2007-01-31,31.62
2007-02-28,32.35
2007-03-31,37.06
2007-04-30,39.53
2007-05-31,42.99
2007-06-30,45.02
2007-07-31,39.87
2007-08-31,41.94
2007-09-30,41.67
2007-10-31,34.8
2007-11-30,31.06
2007-12-31,33.78
2008-01-31,33.61
2008-02-29,34.86
2008-03-31,38.01
2008-04-30,41.67
2008-05-31,49.93
2008-06-30,34.52
2008-07-31,39.74
2008-08-31,34.31
2008-09-30,36.74
2008-10-31,31.22
2008-11-30,31.18
2008-12-31,34.56
2009-01-31,36.18
2009-02-28,34.53
2009-03-31,37.55
2009-04-30,39.9
2009-05-31,43.61
2009-06-30,45.0
2009-07-31,40.68
2009-08-31,41.57
2009-09-30,37.64
2009-10-31,36.59
2009-11-30,40.17
2009-12-31,42.16
2010-01-31,46.75
2010-02-28,48.96
2010-03-31,53.61
2010-04-30,56.67
2010-05-31,54.85
2010-06-30,50.74
2010-07-31,46.75
2010-08-31,43.03
2010-09-30,43.29
2010-10-31,41.98
2010-11-30,44.26
2010-12-31,39.15
2011-01-31,41.11
2011-02-28,41.35
2011-03-31,45.92
2011-04-30,47.6
2011-05-31,43.91
2011-06-30,47.78
2011-07-31,46.22
2011-08-31,39.2
2011-09-30,47.5
2011-10-31,49.5
2011-11-30,51.47
2011-12-31,50.13
2012-01-31,50.94
2012-02-29,49.2
2012-03-31,53.03
2012-04-30,51.61
2012-05-31,54.94
2012-06-30,45.82
2012-07-31,36.83
2012-08-31,44.02
2012-09-30,44.3655
2012-10-31,45.3
2012-11-30,47.97
2012-12-31,47.55
2013-01-31,50.48
2013-02-28,50.73
2013-03-31,54.62
2013-04-30,61.26
2013-05-31,69.02
2013-06-30,66.42
2013-07-31,70.64
2013-08-31,65.48
2013-09-30,65.24
2013-10-31,63.21
2013-11-30,68.34
2013-12-31,72.33
2014-01-31,74.35
2014-02-28,76.84
2014-03-31,78.49
2014-04-30,82.27
2014-05-31,92.51
2014-06-30,97.2
2014-07-31,91.09
2014-08-31,93.32
2014-09-30,87.95
2014-10-31,83.98
2014-11-30,86.81
2014-12-31,84.025
2015-01-31,79.96
2015-02-28,85.21
2015-03-31,79.65
2015-04-30,75.12
2015-05-31,81.53
2015-06-30,75.16
2015-07-31,72.01
2015-08-31,69.04
2015-09-30,68.57
2015-10-31,69.51
2015-11-30,74.81
2015-12-31,77.52
