Date,Close
2005-01-31,35.59
2005-02-28,35.97
2005-03-31,35.5
2005-04-30,35.8
2005-05-31,35.38
2005-06-30,34.55
2005-07-31,34.23
2005-08-31,32.71
2005-09-30,32.69
2005-10-31,31.51
2005-11-30,31.98
2005-12-31,30.12
2006-01-31,31.66
2006-02-28,33.7
2006-03-31,34.06
2006-04-30,33.03
2006-05-31,31.21
2006-06-30,33.49
2006-07-31,33.82
2006-08-31,35.18
2006-09-30,37.13
2006-10-31,37.0
2006-11-30,34.94
2006-12-31,37.24
2007-01-31,38.52
2007-02-28,37.4
2007-03-31,37.92
2007-04-30,38.18
2007-05-31,43.53
2007-06-30,41.17
2007-07-31,42.62
2007-08-31,41.88
2007-09-30,44.28
2007-10-31,46.07
2007-11-30,43.21
2007-12-31,43.69
2008-01-31,38.83
2008-02-29,36.32
2008-03-31,36.45
2008-04-30,38.48
2008-05-31,38.47
2008-06-30,35.4
2008-07-31,34.04
2008-08-31,35.12
2008-09-30,32.09
2008-10-31,29.67
2008-11-30,32.65
2008-12-31,33.9
2009-01-31,29.87
2009-02-28,28.53
2009-03-31,30.2
2009-04-30,30.34
2009-05-31,29.26
2009-06-30,30.73
2009-07-31,32.07
2009-08-31,31.04
2009-09-30,30.27
2009-10-31,29.59
2009-11-30,31.46
2009-12-31,33.13
2010-01-31,29.42
2010-02-28,28.93
2010-03-31,31.02
2010-04-30,28.9
2010-05-31,27.52
2010-06-30,28.02
2010-07-31,29.06
2010-08-31,29.53
2010-09-30,32.59
2010-10-31,32.48
2010-11-30,32.01
2010-12-31,35.78
2011-01-31,35.62
2011-02-28,36.92
2011-03-31,38.54
2011-04-30,37.78
2011-05-31,36.93
2011-06-30,37.23
2011-07-31,35.29
2011-08-31,36.165
2011-09-30,36.8
2011-10-31,36.98
2011-11-30,37.73
2011-12-31,40.12
2012-01-31,37.66
2012-02-29,38.11
2012-03-31,38.23
2012-04-30,40.38
2012-05-31,41.64
2012-06-30,44.44
2012-07-31,45.14
2012-08-31,42.94
2012-09-30,45.57
2012-10-31,44.64
2012-11-30,44.12
2012-12-31,43.27
2013-01-31,43.61
2013-02-28,46.53
2013-03-31,49.15
2013-04-30,53.91
2013-05-31,48.48
2013-06-30,50.34
2013-07-31,49.48
2013-08-31,47.38
2013-09-30,46.675
2013-10-31,50.51
2013-11-30,49.62
2013-12-31,49.14
2014-01-31,48.02
2014-02-28,47.58
2014-03-31,47.57
2014-04-30,46.73
2014-05-31,49.96
2014-06-30,48.93
2014-07-31,50.42
2014-08-31,49.82
2014-09-30,49.99
2014-10-31,50.25
2014-11-30,50.59
2014-12-31,46.78
2015-01-31,45.71
2015-02-28,49.45
2015-03-31,48.63
2015-04-30,50.44
2015-05-31,49.44
2015-06-30,46.61
2015-07-31,46.79
2015-08-31,46.01
2015-09-30,43.51
2015-10-31,46.88
2015-11-30,45.45
2015-12-31,46.22
