Date,Close
2005-01-31,42.61
2005-02-28,42.83
2005-03-31,44.42
2005-04-30,43.06
2005-05-31,45.34
2005-06-30,45.99
2005-07-31,47.86
2005-08-31,46.33
2005-09-30,43.45
2005-10-31,45.43
2005-11-30,45.68
2005-12-31,44.26
2006-01-31,43.28
2006-02-28,44.86
2006-03-31,43.13
2006-04-30,41.93
2006-05-31,40.6
2006-06-30,44.84
2006-07-31,46.78
2006-08-31,49.46
2006-09-30,44.39
2006-10-31,43.68
2006-11-30,40.49
2006-12-31,45.89
2007-01-31,45.3
2007-02-28,44.7
2007-03-31,45.89
2007-04-30,43.9
2007-05-31,45.13
2007-06-30,43.54
2007-07-31,44.18
2007-08-31,45.07
2007-09-30,47.24
2007-10-31,39.65
2007-11-30,36.59
2007-12-31,38.08
2008-01-31,35.04
2008-02-29,36.51
2008-03-31,38.09
2008-04-30,34.85
2008-05-31,36.02
2008-06-30,32.51
2008-07-31,34.34
2008-08-31,36.43
2008-09-30,30.96
2008-10-31,25.46
2008-11-30,24.74
2008-12-31,24.67
2009-01-31,27.41
2009-02-28,23.86
2009-03-31,25.96
2009-04-30,31.43
2009-05-31,29.79
2009-06-30,29.4
2009-07-31,31.05
2009-08-31,33.88
2009-09-30,37.47
2009-10-31,37.83
2009-11-30,38.89
2009-12-31,36.72
2010-01-31,36.05
2010-02-28,35.24
2010-03-31,37.09
2010-04-30,35.15
2010-05-31,32.04
2010-06-30,26.7
2010-07-31,28.55
2010-08-31,26.88
2010-09-30,33.5
2010-10-31,33.88
2010-11-30,34.85
2010-12-31,38.96
2011-01-31,40.44
2011-02-28,43.34
2011-03-31,40.14
2011-04-30,42.72
2011-05-31,43.63
2011-06-30,42.46
2011-07-31,39.04
2011-08-31,35.21
2011-09-30,32.89
2011-10-31,33.2
2011-11-30,33.72
2011-12-31,33.06
2012-01-31,33.36
2012-02-29,33.16
2012-03-31,33.49
2012-04-30,35.06
2012-05-31,30.52
2012-06-30,29.58
2012-07-31,36.36
2012-08-31,35.76
2012-09-30,36.44
2012-10-31,35.23
2012-11-30,33.91
2012-12-31,37.01
2013-01-31,39.96
2013-02-28,40.94
2013-03-31,47.68
2013-04-30,49.51
2013-05-31,47.76
2013-06-30,44.2
2013-07-31,50.25
2013-08-31,48.07
2013-09-30,53.8
2013-10-31,59.24
2013-11-30,59.2
2013-12-31,57.44
2014-01-31,57.35
2014-02-28,67.95
2014-03-31,66.03
2014-04-30,67.9
2014-05-31,71.91
2014-06-30,74.13
2014-07-31,68.77
2014-08-31,60.52
2014-09-30,59.27
2014-10-31,64.22
2014-11-30,68.61
2014-12-31,76.2
2015-01-31,73.75
2015-02-28,83.08
2015-03-31,84.68
2015-04-30,82.93
2015-05-31,85.84
2015-06-30,84.44
2015-07-31,96.63
2015-08-31,86.55
2015-09-30,83.1
2015-10-31,84.68
2015-11-30,84.03
2015-12-31,85.155
