Date,Close
2005-01-31,52.4
2005-02-28,51.61
2005-03-31,50.11
2005-04-30,47.14
2005-05-31,47.23
2005-06-30,48.2
2005-07-31,49.35
2005-08-31,44.96
2005-09-30,43.82
2005-10-31,47.31
2005-11-30,48.56
2005-12-31,46.8
2006-01-31,46.11
2006-02-28,45.36
2006-03-31,47.24
2006-04-30,45.03
2006-05-31,48.45
2006-06-30,48.17
2006-07-31,44.5
2006-08-31,44.72
2006-09-30,49.32
2006-10-31,49.28
2006-11-30,46.1
2006-12-31,46.18
2007-01-31,47.69
2007-02-28,48.31
2007-03-31,46.95
2007-04-30,47.92
2007-05-31,47.6
2007-06-30,48.11
2007-07-31,45.95
2007-08-31,43.63
2007-09-30,43.65
2007-10-31,45.21
2007-11-30,47.9
2007-12-31,47.53
2008-01-31,50.74
2008-02-29,49.59
2008-03-31,52.68
2008-04-30,57.98
2008-05-31,57.74
2008-06-30,56.2
2008-07-31,58.62
2008-08-31,59.07
2008-09-30,59.89
2008-10-31,55.81
2008-11-30,55.88
2008-12-31,56.06
2009-01-31,47.12
2009-02-28,49.24
2009-03-31,52.1
2009-04-30,50.4
2009-05-31,49.74
2009-06-30,48.44
2009-07-31,49.88
2009-08-31,50.87
2009-09-30,49.09
2009-10-31,49.68
2009-11-30,54.55
2009-12-31,53.45
2010-01-31,53.43
2010-02-28,54.07
2010-03-31,55.6
2010-04-30,53.64
2010-05-31,50.56
2010-06-30,48.07
2010-07-31,51.19
2010-08-31,50.14
2010-09-30,53.52
2010-10-31,54.17
2010-11-30,54.09
2010-12-31,53.93
2011-01-31,56.07
2011-02-28,51.98
2011-03-31,52.05
2011-04-30,54.98
2011-05-31,55.22
2011-06-30,53.14
2011-07-31,52.71
2011-08-31,53.19
2011-09-30,51.9
2011-10-31,56.72
2011-11-30,58.9
2011-12-31,59.76
2012-01-31,61.36
2012-02-29,59.08
2012-03-31,61.2
2012-04-30,58.91
2012-05-31,65.82
2012-06-30,69.72
2012-07-31,74.43
2012-08-31,72.6
2012-09-30,73.8
2012-10-31,75.02
2012-11-30,72.02
2012-12-31,68.23
2013-01-31,69.95
2013-02-28,70.78
2013-03-31,74.83
2013-04-30,77.72
2013-05-31,74.84
2013-06-30,74.49
2013-07-31,77.94
2013-08-31,72.98
2013-09-30,73.96
2013-10-31,76.75
2013-11-30,81.01
2013-12-31,78.69
2014-01-31,74.68
2014-02-28,74.7
2014-03-31,76.43
2014-04-30,79.71
2014-05-31,76.77
2014-06-30,75.07
2014-07-31,73.58
2014-08-31,75.5
2014-09-30,76.47
2014-10-31,76.27
2014-11-30,87.54
2014-12-31,85.88
2015-01-31,84.98
2015-02-28,83.93
2015-03-31,82.25
2015-04-30,78.05
2015-05-31,74.27
2015-06-30,70.93
2015-07-31,71.98
2015-08-31,64.73
2015-09-30,64.84
2015-10-31,57.24
2015-11-30,58.84
2015-12-31,61.3
