Date,Close
2005-01-31,51.6
2005-02-28,63.31
2005-03-31,59.6
2005-04-30,57.03
2005-05-31,56.2
2005-06-30,57.47
2005-07-31,58.75
2005-08-31,59.9
2005-09-30,63.54
2005-10-31,56.14
2005-11-30,58.03
2005-12-31,56.17
2006-01-31,62.75
2006-02-28,59.37
2006-03-31,60.86
2006-04-30,63.08
2006-05-31,60.91
2006-06-30,61.35
2006-07-31,67.74
2006-08-31,67.67
2006-09-30,67.1
2006-10-31,71.42
2006-11-30,76.81
2006-12-31,76.63
2007-01-31,74.1
2007-02-28,71.68
2007-03-31,75.45
2007-04-30,79.38
2007-05-31,83.17
2007-06-30,83.88
2007-07-31,85.13
2007-08-31,85.73
2007-09-30,92.56
2007-10-31,91.99
2007-11-30,89.16
2007-12-31,93.69
2008-01-31,86.4
2008-02-29,87.01
2008-03-31,84.58
2008-04-30,93.07
2008-05-31,88.76
2008-06-30,88.13
2008-07-31,80.43
2008-08-31,80.01
2008-09-30,77.66
2008-10-31,74.12
2008-11-30,80.15
2008-12-31,79.83
2009-01-31,76.48
2009-02-28,67.9
2009-03-31,68.1
2009-04-30,66.67
2009-05-31,69.35
2009-06-30,69.91
2009-07-31,70.39
2009-08-31,69.15
2009-09-30,68.61
2009-10-31,71.67
2009-11-30,75.07
2009-12-31,68.19
2010-01-31,64.43
2010-02-28,65.0
2010-03-31,66.98
2010-04-30,67.77
2010-05-31,60.46
2010-06-30,57.07
2010-07-31,59.68
2010-08-31,59.11
2010-09-30,61.79
2010-10-31,66.49
2010-11-30,69.56
2010-12-31,73.12
2011-01-31,80.68
2011-02-28,85.53
2011-03-31,84.13
2011-04-30,87.98
2011-05-31,83.47
2011-06-30,81.38
2011-07-31,79.79
2011-08-31,74.02
2011-09-30,72.63
2011-10-31,78.09
2011-11-30,80.44
2011-12-31,84.76
2012-01-31,83.74
2012-02-29,86.5
2012-03-31,86.73
2012-04-30,86.34
2012-05-31,78.63
2012-06-30,85.57
2012-07-31,86.85
2012-08-31,87.3
2012-09-30,91.45
2012-10-31,91.17
2012-11-30,88.14
2012-12-31,86.55
2013-01-31,89.97
2013-02-28,89.55
2013-03-31,90.11
2013-04-30,88.99
2013-05-31,90.47
2013-06-30,90.35
2013-07-31,93.75
2013-08-31,87.16
2013-09-30,86.04
2013-10-31,89.62
2013-11-30,93.48
2013-12-31,101.2
2014-01-31,92.16
2014-02-28,96.27
2014-03-31,97.68
2014-04-30,102.41
2014-05-31,100.53
2014-06-30,100.68
2014-07-31,98.94
2014-08-31,99.46
2014-09-30,94.05
2014-10-31,96.71
2014-11-30,90.54
2014-12-31,92.45
2015-01-31,87.42
2015-02-28,88.54
2015-03-31,85.0
2015-04-30,87.37
2015-05-31,85.2
2015-06-30,83.2
2015-07-31,79.21
2015-08-31,75.24
2015-09-30,74.35
2015-10-31,82.74
2015-11-30,81.66
2015-12-31,77.95
